Time,Position,Speed
0.6,0.0780221,-0.458534
0.601,0.0775636,-0.466068
0.602,0.0770975,-0.473575
0.603,0.0766239,-0.481054
0.604,0.0761429,-0.488505
0.605,0.0756544,-0.495927
0.606,0.0751584,-0.50332
0.607,0.0746551,-0.510682
0.608,0.0741444,-0.518014
0.609,0.0736264,-0.525314
0.61,0.0731011,-0.532581
0.611,0.0725685,-0.539816
0.612,0.0720287,-0.547017
0.613,0.0714817,-0.554183
0.614,0.0709275,-0.561314
0.615,0.0703662,-0.568409
0.616,0.0697978,-0.575467
0.617,0.0692223,-0.582488
0.618,0.0686398,-0.589471
0.619,0.0680504,-0.596414
0.62,0.067454,-0.603317
0.621,0.0668506,-0.61018
0.622,0.0662405,-0.617001
0.623,0.0656235,-0.62378
0.624,0.0649997,-0.630515
0.625,0.0643692,-0.637206
0.626,0.063732,-0.643852
0.627,0.0630881,-0.650452
0.628,0.0624377,-0.657005
0.629,0.0617806,-0.663511
0.63,0.0611171,-0.669968
0.631,0.0604472,-0.676375
0.632,0.0597708,-0.682732
0.633,0.0590881,-0.689037
0.634,0.058399,-0.695289
0.635,0.0577037,-0.701488
0.636,0.0570022,-0.707632
0.637,0.0562946,-0.713721
0.638,0.0555809,-0.719754
0.639,0.0548611,-0.725728
0.64,0.0541354,-0.731644
0.641,0.0534038,-0.737501
0.642,0.0526663,-0.743296
0.643,0.051923,-0.749029
0.644,0.0511739,-0.7547
0.645,0.0504192,-0.760306
0.646,0.0496589,-0.765848
0.647,0.0488931,-0.771322
0.648,0.0481218,-0.77673
0.649,0.047345,-0.782068
0.65,0.046563,-0.787337
0.651,0.0457756,-0.792534
0.652,0.0449831,-0.79766
0.653,0.0441854,-0.802711
0.654,0.0433827,-0.807689
0.655,0.042575,-0.81259
0.656,0.0417624,-0.817414
0.657,0.040945,-0.82216
0.658,0.0401229,-0.826826
0.659,0.039296,-0.831411
0.66,0.0384646,-0.835914
0.661,0.0376287,-0.840333
0.662,0.0367884,-0.844668
0.663,0.0359437,-0.848916
0.664,0.0350948,-0.853077
0.665,0.0342417,-0.857149
0.666,0.0333846,-0.861132
0.667,0.0325234,-0.865022
0.668,0.0316584,-0.86882
0.669,0.0307896,-0.872524
0.67,0.0299171,-0.876132
0.671,0.0290409,-0.879644
0.672,0.0281613,-0.883057
0.673,0.0272782,-0.88637
0.674,0.0263919,-0.889583
0.675,0.0255023,-0.892693
0.676,0.0246096,-0.895699
0.677,0.0237139,-0.8986
0.678,0.0228153,-0.901395
0.679,0.0219139,-0.904081
0.68,0.0210098,-0.906658
0.681,0.0201032,-0.909124
0.682,0.019194,-0.911478
0.683,0.0182826,-0.913719
0.684,0.0173688,-0.915844
0.685,0.016453,-0.917853
0.686,0.0155352,-0.919744
0.687,0.0146154,-0.921516
0.688,0.0136939,-0.923167
0.689,0.0127707,-0.924696
0.69,0.011846,-0.926102
0.691,0.0109199,-0.927383
0.692,0.00999254,-0.928538
0.693,0.009064,-0.929566
0.694,0.00813444,-0.930464
0.695,0.00720397,-0.931233
0.696,0.00627274,-0.93187
0.697,0.00534087,-0.932374
0.698,0.0044085,-0.932743
0.699,0.00347575,-0.932978
0.7,0.00254278,-0.933075
0.701,0.0016097,-0.933035
0.702,0.000676667,-0.932855
0.703,-0.000256188,-0.932535
0.704,-0.00118872,-0.932073
0.705,-0.0021208,-0.931467
0.706,-0.00305226,-0.930718
0.707,-0.00398298,-0.929824
0.708,-0.0049128,-0.928783
0.709,-0.00584159,-0.927594
0.71,-0.00676918,-0.926257
0.711,-0.00769544,-0.92477
0.712,-0.00862021,-0.923133
0.713,-0.00954334,-0.921343
0.714,-0.0104647,-0.919401
0.715,-0.0113841,-0.917305
0.716,-0.0123014,-0.915055
0.717,-0.0132164,-0.912649
0.718,-0.0141291,-0.910086
0.719,-0.0150392,-0.907367
0.72,-0.0159465,-0.904489
0.721,-0.016851,-0.901452
0.722,-0.0177525,-0.898256
0.723,-0.0186507,-0.8949
0.724,-0.0195456,-0.891383
0.725,-0.020437,-0.887704
0.726,-0.0213247,-0.883864
0.727,-0.0222086,-0.879861
0.728,-0.0230885,-0.875695
0.729,-0.0239642,-0.871365
0.73,-0.0248355,-0.866872
0.731,-0.0257024,-0.862215
0.732,-0.0265646,-0.857393
0.733,-0.027422,-0.852406
0.734,-0.0282744,-0.847255
0.735,-0.0291217,-0.841939
0.736,-0.0299636,-0.836458
0.737,-0.0308001,-0.830811
0.738,-0.0316309,-0.825
0.739,-0.0324559,-0.819023
0.74,-0.0332749,-0.812882
0.741,-0.0340878,-0.806576
0.742,-0.0348943,-0.800106
0.743,-0.0356945,-0.793471
0.744,-0.0364879,-0.786673
0.745,-0.0372746,-0.779712
0.746,-0.0380543,-0.772587
0.747,-0.0388269,-0.765301
0.748,-0.0395922,-0.757853
0.749,-0.0403501,-0.750243
0.75,-0.0411003,-0.742474
0.751,-0.0418428,-0.734545
0.752,-0.0425773,-0.726458
0.753,-0.0433038,-0.718212
0.754,-0.044022,-0.709811
0.755,-0.0447318,-0.701253
0.756,-0.045433,-0.692542
0.757,-0.0461256,-0.683676
0.758,-0.0468093,-0.674659
0.759,-0.0474839,-0.665492
0.76,-0.0481494,-0.656175
0.761,-0.0488056,-0.64671
0.762,-0.0494523,-0.637098
0.763,-0.0500894,-0.627342
0.764,-0.0507167,-0.617443
0.765,-0.0513342,-0.607403
0.766,-0.0519416,-0.597223
0.767,-0.0525388,-0.586905
0.768,-0.0531257,-0.576452
0.769,-0.0537022,-0.565865
0.77,-0.054268,-0.555146
0.771,-0.0548232,-0.544297
0.772,-0.0553675,-0.533321
0.773,-0.0559008,-0.52222
0.774,-0.056423,-0.510995
0.775,-0.056934,-0.499651
0.776,-0.0574337,-0.488188
0.777,-0.0579219,-0.476609
0.778,-0.0583985,-0.464917
0.779,-0.0588634,-0.453115
0.78,-0.0593165,-0.441204
0.781,-0.0597577,-0.429189
0.782,-0.0601869,-0.417071
0.783,-0.060604,-0.404854
0.784,-0.0610088,-0.392539
0.785,-0.0614013,-0.380131
0.786,-0.0617815,-0.367633
0.787,-0.0621491,-0.355046
0.788,-0.0625042,-0.342374
0.789,-0.0628465,-0.329621
0.79,-0.0631762,-0.31679
0.791,-0.0634929,-0.303883
0.792,-0.0637968,-0.290904
0.793,-0.0640877,-0.277856
0.794,-0.0643656,-0.264742
0.795,-0.0646303,-0.251567
0.796,-0.0648819,-0.238333
0.797,-0.0651202,-0.225043
0.798,-0.0653453,-0.211701
0.799,-0.065557,-0.198311
0.8,-0.0657553,-0.184876
0.801,-0.0659402,-0.171399
0.802,-0.0661116,-0.157885
0.803,-0.0662694,-0.144336
0.804,-0.0664138,-0.130756
0.805,-0.0665445,-0.117149
0.806,-0.0666617,-0.103518
0.807,-0.0667652,-0.0898676
0.808,-0.0668551,-0.0762005
0.809,-0.0669313,-0.0625207
0.81,-0.0669938,-0.0488318
0.811,-0.0670426,-0.0351373
0.812,-0.0670778,-0.0214411
0.813,-0.0670992,-0.0077466
0.814,-0.0671069,0.00594245
0.815,-0.067101,0.0196224
0.816,-0.0670814,0.0332897
0.817,-0.0670481,0.0469407
0.818,-0.0670012,0.0605718
0.819,-0.0669406,0.0741794
0.82,-0.0668664,0.0877599
0.821,-0.0667786,0.10131
0.822,-0.0666773,0.114826
0.823,-0.0665625,0.128304
0.824,-0.0664342,0.14174
0.825,-0.0662925,0.155133
0.826,-0.0661373,0.168477
0.827,-0.0659689,0.181769
0.828,-0.0657871,0.195007
0.829,-0.0655921,0.208187
0.83,-0.0653839,0.221305
0.831,-0.0651626,0.234358
0.832,-0.0649282,0.247343
0.833,-0.0646809,0.260257
0.834,-0.0644206,0.273096
0.835,-0.0641475,0.285858
0.836,-0.0638617,0.298539
0.837,-0.0635631,0.311137
0.838,-0.063252,0.323648
0.839,-0.0629283,0.336069
0.84,-0.0625923,0.348398
0.841,-0.0622439,0.360632
0.842,-0.0618832,0.372768
0.843,-0.0615105,0.384803
0.844,-0.0611257,0.396734
0.845,-0.0607289,0.408559
0.846,-0.0603204,0.420276
0.847,-0.0599001,0.431882
0.848,-0.0594682,0.443374
0.849,-0.0590249,0.45475
0.85,-0.0585701,0.466008
